"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 17 22:47:35 UTC 2021","Wed Mar 17 22:47:35 UTC 2021","0","","predicates/read_term_3/tests.lgt::tests","","tests","","lgt_read_term_3_36",""
"passed","Wed Mar 17 22:47:46 UTC 2021","Wed Mar 17 22:47:46 UTC 2021","0","","predicates/retractall_1/tests.lgt::tests","","tests","","iso_retractall_1_02",""
"passed","Wed Mar 17 22:42:12 UTC 2021","Wed Mar 17 22:42:12 UTC 2021","0","","functions/log_2/tests.lgt::tests","","tests","","lgt_log_2_11",""
"passed","Wed Mar 17 22:49:09 UTC 2021","Wed Mar 17 22:49:09 UTC 2021","1","","syntax/double_quoted_terms/tests.lgt::tests","","tests","","iso_double_quoted_term_04",""
"passed","Wed Mar 17 22:48:57 UTC 2021","Wed Mar 17 22:48:57 UTC 2021","0","","predicates/write_term_3/tests.lgt::tests","","tests","","sics_write_term_3_13",""
"passed","Wed Mar 17 22:48:22 UTC 2021","Wed Mar 17 22:48:22 UTC 2021","0","","predicates/sub_atom_5/tests.lgt::tests","","tests","","lgt_sub_atom_5_36",""
"passed","Wed Mar 17 22:42:43 UTC 2021","Wed Mar 17 22:42:43 UTC 2021","0","","functions/sign_1/tests.lgt::tests","","tests","","sign_1_error_01",""
"passed","Wed Mar 17 22:42:43 UTC 2021","Wed Mar 17 22:42:43 UTC 2021","0","","functions/sign_1/tests.lgt::tests","","tests","","sign_1_integer_03",""
"passed","Wed Mar 17 22:43:11 UTC 2021","Wed Mar 17 22:43:11 UTC 2021","0","","functions/xor_2/tests.lgt::tests","","tests","","lgt_xor_2_11",""
"passed","Wed Mar 17 22:41:18 UTC 2021","Wed Mar 17 22:41:18 UTC 2021","0","","functions/cos_1/tests.lgt::tests","","tests","","lgt_cos_1_06",""
"passed","Wed Mar 17 22:46:13 UTC 2021","Wed Mar 17 22:46:13 UTC 2021","0","","predicates/length_2/tests.lgt::tests","","tests","","commons_length_2_10",""
"passed","Wed Mar 17 22:49:29 UTC 2021","Wed Mar 17 22:49:29 UTC 2021","0","","syntax/variables/tests.lgt::tests","","tests","","iso_variable_05",""
"passed","Wed Mar 17 22:43:50 UTC 2021","Wed Mar 17 22:43:50 UTC 2021","0","","predicates/atom_codes_2/tests.lgt::tests","","tests","","iso_atom_codes_2_03",""
"passed","Wed Mar 17 22:48:57 UTC 2021","Wed Mar 17 22:48:57 UTC 2021","0","","predicates/write_term_3/tests.lgt::tests","","tests","","sics_write_term_3_14",""
"passed","Wed Mar 17 22:47:50 UTC 2021","Wed Mar 17 22:47:50 UTC 2021","0","","predicates/set_input_1/tests.lgt::tests","","tests","","sics_set_input_1_1",""
"passed","Wed Mar 17 22:48:57 UTC 2021","Wed Mar 17 22:48:57 UTC 2021","1","","predicates/write_term_3/tests.lgt::tests","","tests","","lgt_write_term_3_45",""
"passed","Wed Mar 17 22:40:39 UTC 2021","Wed Mar 17 22:40:39 UTC 2021","0","","functions/asinh_1/tests.lgt::tests","","tests","","lgt_asinh_1_02",""
"passed","Wed Mar 17 22:43:23 UTC 2021","Wed Mar 17 22:43:23 UTC 2021","0","","predicates/arg_3/tests.lgt::tests","","tests","","iso_arg_3_09",""
"passed","Wed Mar 17 22:45:02 UTC 2021","Wed Mar 17 22:45:02 UTC 2021","0","","predicates/current_prolog_flag_2/tests.lgt::tests","","tests","","iso_current_prolog_flag_2_03",""
"passed","Wed Mar 17 22:45:29 UTC 2021","Wed Mar 17 22:45:29 UTC 2021","1","","predicates/format_2/tests.lgt::tests","","tests","","lgt_format_2_canonical",""
"passed","Wed Mar 17 22:44:14 UTC 2021","Wed Mar 17 22:44:14 UTC 2021","0","","predicates/call_N/tests.lgt::tests","","tests","","lgt_call_N_18",""
"passed","Wed Mar 17 22:46:28 UTC 2021","Wed Mar 17 22:46:28 UTC 2021","0","","predicates/not_1/tests.lgt::tests","","tests","","iso_not_1_06",""
"passed","Wed Mar 17 22:44:38 UTC 2021","Wed Mar 17 22:44:38 UTC 2021","0","","predicates/compound_1/tests.lgt::tests","","tests","","iso_compound_1_01",""
"passed","Wed Mar 17 22:42:24 UTC 2021","Wed Mar 17 22:42:24 UTC 2021","0","","functions/mod_2/tests.lgt::tests","","tests","","iso_mod_2_06",""
"passed","Wed Mar 17 22:49:21 UTC 2021","Wed Mar 17 22:49:21 UTC 2021","1","","syntax/operators/tests.lgt::tests","","tests","","iso_operators_14",""
"passed","Wed Mar 17 22:43:06 UTC 2021","Wed Mar 17 22:43:06 UTC 2021","0","","functions/truncate_1/tests.lgt::tests","","tests","","iso_truncate_1_02",""
"failed","Wed Mar 17 22:47:35 UTC 2021","Wed Mar 17 22:47:35 UTC 2021","1","","predicates/read_term_3/tests.lgt::tests","","tests","","iso_read_term_3_05",""
"passed","Wed Mar 17 22:45:41 UTC 2021","Wed Mar 17 22:45:41 UTC 2021","1","","predicates/get_byte_2/tests.lgt::tests","","tests","","iso_get_byte_2_03",""
"passed","Wed Mar 17 22:41:41 UTC 2021","Wed Mar 17 22:41:41 UTC 2021","0","","functions/float_1/tests.lgt::tests","","tests","","iso_float_1_06",""
"passed","Wed Mar 17 22:42:32 UTC 2021","Wed Mar 17 22:42:32 UTC 2021","0","","functions/power_2/tests.lgt::tests","","tests","","iso_power_2_02",""
"passed","Wed Mar 17 22:42:16 UTC 2021","Wed Mar 17 22:42:16 UTC 2021","0","","functions/max_2/tests.lgt::tests","","tests","","iso_max_2_02",""
"passed","Wed Mar 17 22:46:44 UTC 2021","Wed Mar 17 22:46:44 UTC 2021","0","","predicates/number_codes_2/tests.lgt::tests","","tests","","sics_number_codes_2_18",""
"passed","Wed Mar 17 22:48:34 UTC 2021","Wed Mar 17 22:48:34 UTC 2021","0","","predicates/term_comparison/tests.lgt::tests","","tests","","lgt_term_comparison_26",""
"passed","Wed Mar 17 22:46:40 UTC 2021","Wed Mar 17 22:46:40 UTC 2021","0","","predicates/number_chars_2/tests.lgt::tests","","tests","","sics_number_chars_2_27",""
"passed","Wed Mar 17 22:42:20 UTC 2021","Wed Mar 17 22:42:20 UTC 2021","0","","functions/min_2/tests.lgt::tests","","tests","","lgt_min_2_07",""
"passed","Wed Mar 17 22:43:27 UTC 2021","Wed Mar 17 22:43:27 UTC 2021","0","","predicates/arithmetic_comparison/tests.lgt::tests","","tests","","iso_arithmetic_comparison_24",""
"passed","Wed Mar 17 22:44:34 UTC 2021","Wed Mar 17 22:44:34 UTC 2021","0","","predicates/compare_3/tests.lgt::tests","","tests","","lgt_compare_3_12",""
